Capacitive %,Temperature,Humidity,MC %
11.5,24.5,63,9.8
12,24.5,63,11.8
12,24.5,63,12
12.25,24.5,63,10.5
11.75,24.5,63,10.5
11.5,24.7,62,10.3
10.75,24.7,62,7
11.25,24.6,62,7
11.25,24.7,62,7
11.25,24.7,62,7
11.25,24.7,62,7
16.75,24.6,62,20.7
16.25,24.6,62,16.5
14,24.6,62,13.4
14,24.6,62,13.3
13.5,24.6,62,12.1
26.25,25,62,27.8
23.75,25,62,23.7
22.5,25,62,22.2
21.5,25,62,20.6
21,25,62,20.2
18,25,62,18
15.75,25,62,15.3
14.5,25,62,16.2
9.25,24.5,63,10.1
16.25,25.4,63,19.8
16.25,25.4,63,19.6
17,24.6,62,18.4
16.25,24.6,62,16.3
14.5,24.6,62,15.7
13.25,24.4,63,12.1
14.5,24.4,63,12
14.25,24.6,64,12.1
11.5,24.6,64,12
11.5,24.6,64,12
23,24.6,64,24.8
19.25,24.6,64,20.3
19,24.6,64,19
18.75,24.6,64,18
17.5,24.6,64,17
16.25,24.6,64,16.6
13.75,26.3,64,14.2
36.25,25.8,62,40.8
34.5,25.4,63,39.7
33.25,25.4,63,37.5
33,25.2,63,37.1
29.5,25,62,33
26.75,25,62,31.8
28,25,62,29.3
25.75,25,62,28.6
16.25,25,61,14.5
18.75,25,61,15.6
15,24.4,57,15.3
15.75,24.6,56,14.9
12,25.9,60,12.6
11.5,26.4,60,12.3
11,26.4,60,12.5
12.5,25.9,61,12.7
13.25,25.4,61,13
20.5,25.7,61,22.3
11.25,23.7,66,9.8
11,24.4,63,9.9
10.75,24.7,61,9.8
20.25,24.7,61,25.6
18.75,24.7,61,23.7
18.25,24.7,61,19.9
17.5,24.7,61,17.5
17.5,24.7,61,17.5
17.5,24.7,61,17.5
17.5,24.7,61,17.5
16.25,24.7,61,15.9
16.25,24.7,61,15.9
16.25,24.7,61,15.9
16.25,24.7,61,15.9
12.75,24.7,61,13.5
12.75,24.7,61,13.5
12.75,24.7,61,13.5
12,24.7,61,13.5
12,24.7,61,13.5
12,24.7,61,12.9
13.25,24.7,61,13.5
13.25,24.7,61,13.5
20,25.1,5900,20
19.5,25.1,5900,20
17.5,25.1,5900,17.7
15.75,25.1,5900,16
14.25,25,6000,14.3
14,24.9,59,13.8
12.75,24.9,59,13.4
12.25,24.9,60,12.6
30.5,24.9,60,34.2
31.75,24.9,60,33.6
33.5,24.9,60,33.3
30.75,24.9,59,30.7
30,24.9,59,30.5
33.5,24.9,59,33
37.75,24.9,59,37.6
38,24.9,59,39.1
39,24.9,59,39.7
38.5,24.9,59,39.7
40,24.9,59,40.6
42.25,25.1,59,40.3
39.5,25.1,59,38.4
36.25,25.1,59,36.3
37.25,25.1,59,37.3
39.5,25.1,59,38.6
38.5,25.1,59,38.3
38.25,25.1,59,37.5
36,25.1,59,36.4
36,25.1,59,36
34,25.1,59,35.2
33.25,25.1,59,33.3
23.5,25.1,59,23.2
19.75,25.1,59,19.6
16,24.9,61,15.6
15.25,24.9,61,14.6
13.75,25.1,61,14.4
14,25.1,61,14.4
15,25.3,61,16.4
16.25,25.3,61,15.8
